gaaabz_r,2017-08-28 01:06:36,"RT @bonitindemais: NA MADRUGADA ABANDONADAA, MINHA PERLA TA VIVAAAAA #DingDong #Faustao https://t.co/kvHyAuxRC7"
erikagsiqueira,2017-08-28 01:04:46,#GoTS7 #Faustao #GamesOfThrones começa logo disgraçaaaa https://t.co/DfD8EVjNs8
inesmnds_,2017-08-28 00:58:18,"gente, q bunda foi aquela q apareceu no faustão? kjjj estagiário sendo demitido em 3... 2... 1... #Faustao"
nandagatto,2017-08-28 00:46:57,Hipocrisia se vê por lá #DancingBrasil dandod mil na #DançaDosFamosos #CarolinaKasting coerência zero! 10 só pras m… https://t.co/EGkQdwQyn1
skull_lucas1,2017-08-28 00:46:45,"RT @bonitindemais: NA MADRUGADA ABANDONADAA, MINHA PERLA TA VIVAAAAA #DingDong #Faustao https://t.co/kvHyAuxRC7"
Bel_Marra,2017-08-28 00:41:18,"@KastingCarolina @marixareal Seria ótimo se fosse pra boletim escolar, mas no caso da #DancaDosFamosos pode prejudi… https://t.co/CdEMAESA9v"
Vinilimaas,2017-08-28 00:39:56,"RT @bonitindemais: NA MADRUGADA ABANDONADAA, MINHA PERLA TA VIVAAAAA #DingDong #Faustao https://t.co/kvHyAuxRC7"
9108a71c891240e,2017-08-28 00:26:00,RT @moraisfrancisco: Você é nota 10 @marixareal #DancaDosFamosos #Faustao
LeoGiramundo,2017-08-28 00:22:57,RT @moraisfrancisco: Você é nota 10 @marixareal #DancaDosFamosos #Faustao
eliasrocha23,2017-08-28 00:22:54,RT @moraisfrancisco: Você é nota 10 @marixareal #DancaDosFamosos #Faustao
moraisfrancisco,2017-08-28 00:22:21,Você é nota 10 @marixareal #DancaDosFamosos #Faustao
Lucccase,2017-08-28 00:18:46,"RT @bonitindemais: NA MADRUGADA ABANDONADAA, MINHA PERLA TA VIVAAAAA #DingDong #Faustao https://t.co/kvHyAuxRC7"
alligatortearsq,2017-08-28 00:18:33,"RT @nxcolasc: Zizi Possi, conhecida como dona do Brasil. #dingdong #faustão"
sensuallysei,2017-08-28 00:13:31,"RT @bonitindemais: NA MADRUGADA ABANDONADAA, MINHA PERLA TA VIVAAAAA #DingDong #Faustao https://t.co/kvHyAuxRC7"
marlona34,2017-08-28 00:10:13,RT @moraisfrancisco: #DancaDosFamosos  que @KastingCarolina não retorne mais ao programa do #Faustao. Lamentável atribuir injustamente uma…
moraisfrancisco,2017-08-28 00:07:40,#DancaDosFamosos  que @KastingCarolina não retorne mais ao programa do #Faustao. Lamentável atribuir injustamente uma nota 9 a #MARIANA
SophiaBarroso,2017-08-28 00:04:52,RT @QGAmandaD: #Faustão disfarçou mais a internet não perdoa é já tiraram print 😂😂 https://t.co/aT8EW7n5m2
marlona34,2017-08-28 00:04:26,"RT @Bel_Marra: Zizi Possi é tão lady, tão fofa, tão discreta. Que luxo ouvi-la no #Faustao A voz dela arrepia de tão linda! #DingDong #Danc…"
QGAmandaD,2017-08-28 00:03:36,#Faustão disfarçou mais a internet não perdoa é já tiraram print 😂😂 https://t.co/aT8EW7n5m2
marlona34,2017-08-28 00:03:20,"RT @nxcolasc: Zizi Possi, conhecida como dona do Brasil. #dingdong #faustão"
asongforthedead,2017-08-28 00:02:27,RT @WellingtonCsil7: Só eu vi a bunda no programa do #Faustao #DomingaoDoFaustao https://t.co/KErBmLX8ti
asongforthedead,2017-08-28 00:02:05,"RT @RodrigoVilaNov1: Uma bunda no telão do Faustão??? 

#dancadosfamosos2017 #Faustao #DomingaoDoFaustao https://t.co/933WGFn0kV"
SunshineMalois,2017-08-28 00:01:08,RT @WellingtonCsil7: Só eu vi a bunda no programa do #Faustao #DomingaoDoFaustao https://t.co/KErBmLX8ti
RodrigoVilaNov1,2017-08-28 00:00:52,"Uma bunda no telão do Faustão??? 

#dancadosfamosos2017 #Faustao #DomingaoDoFaustao https://t.co/933WGFn0kV"
Henry180874,2017-08-28 00:00:51,#faustao aposenta vc chato demais vaza.
avafortuna,2017-08-28 00:00:39,RT @guhgc: Até eu fiquei boquiaberto com a carolina kasting dando 9 #faustao #DancaDosFamosos #domingaodofaustao
LigiasniL,2017-08-27 23:59:23,#Faustão e seu machismo insuportável... Falta de namorado o escambal... #DomingãoDoFaustão
julinhoteles56,2017-08-27 23:59:05,Faustão hoje hein se superou. A Kasting momento Seicho No Ie UM JEITO FELIZ DE VIVER e momento Sexy Hot com a bunda… https://t.co/Gh5a709etf
QGAmandaD,2017-08-27 23:59:03,RT @WellingtonCsil7: Só eu vi a bunda no programa do #Faustao #DomingaoDoFaustao https://t.co/KErBmLX8ti
FaguinhoFarias,2017-08-27 23:58:29,"Só que rir das palhaçadas de Faustão: bailarinas, porque são pagas. #Faustao #escroto"
gabrieltd_,2017-08-27 23:57:46,Volta Fernanda Chama #Faustao
2j_jp,2017-08-27 23:56:33,RT @WellingtonCsil7: Só eu vi a bunda no programa do #Faustao #DomingaoDoFaustao https://t.co/KErBmLX8ti
PeJota_PJ,2017-08-27 23:56:30,"#videocassetadas  já foram bem melhores, hj em dia tudo sem graça.
Kd as ksetadas d vdd?
Ta osso hein, quadro sem graça.
#Faustao 
#Faustão"
WellingtonCsil7,2017-08-27 23:55:20,Só eu vi a bunda no programa do #Faustao #DomingaoDoFaustao https://t.co/KErBmLX8ti
EvelynChrystien,2017-08-27 23:54:20,RT @adelaidegentil: Aquele centésimo de segundo que você vê uma bunda no telão do #Faustão 🍑 #dançadosfamosos https://t.co/G2yX3GNJT8
gabrieltd_,2017-08-27 23:54:17,Kasting você vai ser odiada até sua morte #Faustao
